items_edmPreview,items_id,items_type,items_title,items_edmTimespanLabelLangAware_def,items_dcCreator,items_dataProvider,items_country
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fmandadb.hu%2Fmandadb%2Fwebimage%2F6%2F4%2F8%2F2%2F8%2F1%2Fwimage%2Flead_126152.jpg&size=LARGE&type=IMAGE,/2048128/576298,IMAGE,Kiállítás,1975,"Bauer Sándor, fényképész",Fortepan,hungary
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=https%3A%2F%2Fwww.filmportal.de%2Fsites%2Fdefault%2Ffiles%2F0DB662C1207D4AD998E51B17076D2A93_f015490_pic_01.jpg&size=LARGE&type=IMAGE,/08604/0DB662C1207D4AD998E51B17076D2A93_f015490_pic_01,IMAGE,Der Raub der Mona Lisa,1931,,Deutsches Filminstitut - DIF,germany
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fimages3.noterik.com%2Fdomain%2Feuscreenxl%2Fuser%2Feu_dr%2Fvideo%2FEUS_B3E1D61310B74CE3A627A244861F78CE%2Fimage.jpg&size=LARGE&type=VIDEO,/2051943/EUS_B3E1D61310B74CE3A627A244861F78CE,VIDEO,Osvald Helmuth dressed as Mona Lisa. Osvald Helmuth udklædt som Mona Lisa SERIES TITLE: ,1951,,DR,europe
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbpt6k4811910s.thumbnail.jpg&size=LARGE&type=TEXT,/9200520/ark__12148_bpt6k4811910s,TEXT,L'escapade de Mona Lisa ; Le livre du double secret / Jocelyne Zacharezuk ; ill. de Thierry Christmann,1994,"Zacharezuk, Jocelyne (1950-....). Auteur du texte",Bibliothèque nationale de France,france
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fkb-images.kb.dk%2FDAMJP2%2Fonline_master_arkiv_3%2Fnon-archival%2FImages%2FBLADTE%2Fpoul_erik_poulsen%2Fdb_poul_erik_poulsen_kasse_08%2Fdb_poul_erik_poulsen_00351%2Ffull%2Ffull%2F0%2Fnative.jpg&size=LARGE&type=IMAGE,/92023/images_billed_2010_okt_billeder_object366120,IMAGE,Mona Lisa,1978,"Poulsen, Poul Erik (1935-2013) bladtegner",The Royal Library: The National Library of Denmark and Copenhagen University Library,denmark
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Ffototeka.fn.org.pl%2Fpublic%2Fcache%2F1-F-3481-6-931x.jpg&size=LARGE&type=IMAGE,/08609/1_F_3481_6_931x,IMAGE,Przygody Otka,1967,,Filmoteka Narodowa,poland
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Frepos.europeanafashion.eu%2Fpff%2Fimages%2F2007.6.0362.JPG&size=LARGE&type=IMAGE,/2048210/2007_6_0362,IMAGE,T-Shirt,1960,Hanes,Peloponnesian Folklore Foundation,greece
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fmm.dimu.org%2Fimage%2F032uL2kSj68f%3Fdimension%3D600x600&size=LARGE&type=IMAGE,/916106/vbg_object_VM08074_22,IMAGE,BARNTECKNING,1945,Erikslundsskolan,Vänersborgs museum,sweden
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fresolver.kb.nl%2Fresolve%3Furn%3Durn%3Agvn%3ASFA03%3ASFA022007043%26role%3Dthumbnail&size=LARGE&type=IMAGE,/92034/GVNRC_SFA03_SFA022007043,IMAGE,"Op de glimlach-school in Boedapest wijst een leraar in witte jas met een stok naar de mond van de Mona Lisa op een tekening daarvan. Hongarije, 1937.",1937,Fotograaf onbekend,National Library of the Netherlands - Koninklijke Bibliotheek,netherlands
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fresolver.kb.nl%2Fresolve%3Furn%3Durn%3Agvn%3ARA01%3A479516710add1%26role%3Dthumbnail&size=LARGE&type=IMAGE,/92034/GVNRC_RA01_479516710add1,IMAGE,Mona Lisa Smile,2004,"Columbia Tristar,,",National Library of the Netherlands - Koninklijke Bibliotheek,netherlands
