items_dcCreator,items_country,items_dataProvider,items_id,items_edmPreview,items_title,items_edmTimespanLabelLangAware_def,items_type
,netherlands,Naturalis Biodiversity Center,/11648/_Botany_L_1467997,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fmedialib.naturalis.nl%2Ffile%2Fid%2FL.1467997%2Fformat%2Flarge&size=LARGE&type=IMAGE,Alpinia zerumbet (Pers.) B.L.Burtt & R.M.Sm.,-1,IMAGE
,germany,Bildarchiv Foto Marburg,/2064137/Museu_ProvidedCHO_Bildarchiv_Foto_Marburg_obj20212216,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fwww.bildindex.de%2Fbilder%2Fd%2Ffmb22291_34&size=LARGE&type=IMAGE,Mona Lisa,-1,IMAGE
,germany,Bildarchiv Foto Marburg,/2064137/Museu_ProvidedCHO_Bildarchiv_Foto_Marburg_obj00076417,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fwww.bildindex.de%2Fbilder%2Fd%2Ffmc660792&size=LARGE&type=IMAGE,La Joconde / Gioconda / Mona Lisa,-1,IMAGE
,europe,DR,/2051943/EUS_B3E1D61310B74CE3A627A244861F78CE,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fimages3.noterik.com%2Fdomain%2Feuscreenxl%2Fuser%2Feu_dr%2Fvideo%2FEUS_B3E1D61310B74CE3A627A244861F78CE%2Fimage.jpg&size=LARGE&type=VIDEO,Osvald Helmuth dressed as Mona Lisa. Osvald Helmuth udklædt som Mona Lisa SERIES TITLE: ,20..,VIDEO
"Juhl, Mogens (1927-1982) bladtegner",denmark,The Royal Library: The National Library of Denmark and Copenhagen University Library,/92023/images_billed_2010_okt_billeder_object375364,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fkb-images.kb.dk%2FDAMJP2%2Fonline_master_arkiv_3%2Fnon-archival%2FImages%2FBLADTE%2Fmogens_juhl%2Fdb_mogens_juhl_00006%2Ffull%2Ffull%2F0%2Fnative.jpg&size=LARGE&type=IMAGE,Dagens Tegning,-1,IMAGE
"Møller, Valdemar (1885-1947) bladtegner",denmark,The Royal Library: The National Library of Denmark and Copenhagen University Library,/92023/images_billed_2010_okt_billeder_object370023,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fkb-images.kb.dk%2FDAMJP2%2Fonline_master_arkiv_3%2Fnon-archival%2FImages%2FBLADTE%2Fvaldemar_moller%2Fdb_valdemar_moller_69%2Fdb_valdemar_moller_01377%2Ffull%2Ffull%2F0%2Fnative.jpg&size=LARGE&type=IMAGE,Stjaalet anden Gang,-1,IMAGE
"Poulsen, Poul Erik (1935-2013) bladtegner",denmark,The Royal Library: The National Library of Denmark and Copenhagen University Library,/92023/images_billed_2010_okt_billeder_object366120,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fkb-images.kb.dk%2FDAMJP2%2Fonline_master_arkiv_3%2Fnon-archival%2FImages%2FBLADTE%2Fpoul_erik_poulsen%2Fdb_poul_erik_poulsen_kasse_08%2Fdb_poul_erik_poulsen_00351%2Ffull%2Ffull%2F0%2Fnative.jpg&size=LARGE&type=IMAGE,Mona Lisa,1978,IMAGE
"Otzen, Per Marquard (f.1944) bladtegner",denmark,The Royal Library: The National Library of Denmark and Copenhagen University Library,/92023/images_billed_2010_okt_billeder_object355016,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fkb-images.kb.dk%2FDAMJP2%2Fonline_master_arkiv_3%2Fnon-archival%2FImages%2FBLADTE%2Fper_marquard_otzen%2Fdb_per_marquard_otzen_00781%2Ffull%2Ffull%2F0%2Fnative.jpg&size=LARGE&type=IMAGE,Leonardo da Vinci,-1,IMAGE
"Bojesen, Bo (1923-2006) bladtegner",denmark,The Royal Library: The National Library of Denmark and Copenhagen University Library,/92023/images_billed_2010_okt_billeder_object331995,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fkb-images.kb.dk%2FDAMJP2%2Fonline_master_arkiv_7%2Fnon-archival%2FImages%2FBLADTE%2FBo_Bojesen%2Fdb_bo_bojesen_02813%2Ffull%2Ffull%2F0%2Fnative.jpg&size=LARGE&type=IMAGE,Diplomatiets kunst,-1,IMAGE
"Bojesen, Bo (1923-2006) bladtegner",denmark,The Royal Library: The National Library of Denmark and Copenhagen University Library,/92023/images_billed_2010_okt_billeder_object330026,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fkb-images.kb.dk%2FDAMJP2%2Fonline_master_arkiv_6%2Fnon-archival%2FImages%2FBLADTE%2FBo_Bojesen%2Fdb_bo_bojesen_00764%2Ffull%2Ffull%2F0%2Fnative.jpg&size=LARGE&type=IMAGE,Verden gaar fremad,-1,IMAGE
"Bojesen, Bo (1923-2006) bladtegner",denmark,The Royal Library: The National Library of Denmark and Copenhagen University Library,/92023/images_billed_2010_okt_billeder_object329846,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fkb-images.kb.dk%2FDAMJP2%2Fonline_master_arkiv_6%2Fnon-archival%2FImages%2FBLADTE%2FBo_Bojesen%2Fdb_bo_bojesen_00434%2Ffull%2Ffull%2F0%2Fnative.jpg&size=LARGE&type=IMAGE,Bo Bojesen i Paris,-1,IMAGE
"Bojesen, Bo (1923-2006) bladtegner",denmark,The Royal Library: The National Library of Denmark and Copenhagen University Library,/92023/images_billed_2010_okt_billeder_object329669,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fkb-images.kb.dk%2FDAMJP2%2Fonline_master_arkiv_6%2Fnon-archival%2FImages%2FBLADTE%2FBo_Bojesen%2Fdb_bo_bojesen_00253%2Ffull%2Ffull%2F0%2Fnative.jpg&size=LARGE&type=IMAGE,Nyophængning i Louvre,-1,IMAGE
Candido Aragonês de Faria,netherlands,EYE Filmmuseum (The Netherlands),/08614/poster9867,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fefgposters.eyefilm.nl%2FNL-EYE-EFG1914_A04997.jpg&size=LARGE&type=IMAGE,Le Tragique amour de Mona Lisa,20..,IMAGE
,hungary,Magyar Kereskedelmi és Vendéglátóipari Múzeum - Budapest,/2048128/94590,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fmandadb.hu%2Fmandadb%2Fwebimage%2F9%2F0%2F0%2F7%2F0%2Fwimage%2FKF_5401_3.jpg&size=LARGE&type=IMAGE,Mona Lisa művészeti  fényképészet és festészeti vállalat,-1,IMAGE
"Bauer Sándor, fényképész",hungary,Fortepan,/2048128/576298,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fmandadb.hu%2Fcommon%2Ffile-servlet%2Fdocument%2F898530%2Fdefault%2Fdoc_url%2F126152.jpg&size=LARGE&type=IMAGE,Kiállítás,20..,IMAGE
"Diskai Mona Lisa, fotó stúdió, Budapest,  VII. kerület, Rákóczi út 18.",hungary,Magyar Kereskedelmi és Vendéglátóipari Múzeum - Budapest,/2048128/326652,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fmandadb.hu%2Fcommon%2Ffile-servlet%2Fdocument%2F535353%2Fdefault%2Fdoc_url%2FVF_32_533.jpg&size=LARGE&type=IMAGE,"Magyar Szakácsok Országos Egyesületének tablóképe, Budapest, 1939.",-1,IMAGE
,poland,Filmoteka Narodowa,/08609/1_F_3481_6_931x,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Ffototeka.fn.org.pl%2Fpublic%2Fcache%2F1-F-3481-6-931x.jpg&size=LARGE&type=IMAGE,Przygody Otka,20..,IMAGE
,germany,Deutsches Filminstitut - DIF,/08604/0DB662C1207D4AD998E51B17076D2A93_f015490_pic_01,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fwww.filmportal.de%2Fsites%2Fdefault%2Ffiles%2F0DB662C1207D4AD998E51B17076D2A93_f015490_pic_01.jpg&size=LARGE&type=IMAGE,Der Raub der Mona Lisa,-1,IMAGE
