items_title,items_dcCreator,items_dataProvider,items_type,items_country,items_id,items_edmTimespanLabelLangAware_def,items_edmPreview
Alpinia zerumbet (Pers.) B.L.Burtt & R.M.Sm.,,Naturalis Biodiversity Center,IMAGE,netherlands,/11648/_Botany_L_1467997,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fmedialib.naturalis.nl%2Ffile%2Fid%2FL.1467997%2Fformat%2Flarge&size=LARGE&type=IMAGE
Mona Lisa,,Bildarchiv Foto Marburg,IMAGE,germany,/2064137/Museu_ProvidedCHO_Bildarchiv_Foto_Marburg_obj20212216,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fwww.bildindex.de%2Fbilder%2Fd%2Ffmb22291_34&size=LARGE&type=IMAGE
La Joconde / Gioconda / Mona Lisa,,Bildarchiv Foto Marburg,IMAGE,germany,/2064137/Museu_ProvidedCHO_Bildarchiv_Foto_Marburg_obj00076417,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fwww.bildindex.de%2Fbilder%2Fd%2Ffmc660792&size=LARGE&type=IMAGE
Osvald Helmuth dressed as Mona Lisa. Osvald Helmuth udklædt som Mona Lisa SERIES TITLE: ,,DR,VIDEO,europe,/2051943/EUS_B3E1D61310B74CE3A627A244861F78CE,20..,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fimages3.noterik.com%2Fdomain%2Feuscreenxl%2Fuser%2Feu_dr%2Fvideo%2FEUS_B3E1D61310B74CE3A627A244861F78CE%2Fimage.jpg&size=LARGE&type=VIDEO
Dagens Tegning,"Juhl, Mogens (1927-1982) bladtegner",The Royal Library: The National Library of Denmark and Copenhagen University Library,IMAGE,denmark,/92023/images_billed_2010_okt_billeder_object375364,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fkb-images.kb.dk%2FDAMJP2%2Fonline_master_arkiv_3%2Fnon-archival%2FImages%2FBLADTE%2Fmogens_juhl%2Fdb_mogens_juhl_00006%2Ffull%2Ffull%2F0%2Fnative.jpg&size=LARGE&type=IMAGE
Stjaalet anden Gang,"Møller, Valdemar (1885-1947) bladtegner",The Royal Library: The National Library of Denmark and Copenhagen University Library,IMAGE,denmark,/92023/images_billed_2010_okt_billeder_object370023,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fkb-images.kb.dk%2FDAMJP2%2Fonline_master_arkiv_3%2Fnon-archival%2FImages%2FBLADTE%2Fvaldemar_moller%2Fdb_valdemar_moller_69%2Fdb_valdemar_moller_01377%2Ffull%2Ffull%2F0%2Fnative.jpg&size=LARGE&type=IMAGE
Mona Lisa,"Poulsen, Poul Erik (1935-2013) bladtegner",The Royal Library: The National Library of Denmark and Copenhagen University Library,IMAGE,denmark,/92023/images_billed_2010_okt_billeder_object366120,1978,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fkb-images.kb.dk%2FDAMJP2%2Fonline_master_arkiv_3%2Fnon-archival%2FImages%2FBLADTE%2Fpoul_erik_poulsen%2Fdb_poul_erik_poulsen_kasse_08%2Fdb_poul_erik_poulsen_00351%2Ffull%2Ffull%2F0%2Fnative.jpg&size=LARGE&type=IMAGE
Leonardo da Vinci,"Otzen, Per Marquard (f.1944) bladtegner",The Royal Library: The National Library of Denmark and Copenhagen University Library,IMAGE,denmark,/92023/images_billed_2010_okt_billeder_object355016,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fkb-images.kb.dk%2FDAMJP2%2Fonline_master_arkiv_3%2Fnon-archival%2FImages%2FBLADTE%2Fper_marquard_otzen%2Fdb_per_marquard_otzen_00781%2Ffull%2Ffull%2F0%2Fnative.jpg&size=LARGE&type=IMAGE
Diplomatiets kunst,"Bojesen, Bo (1923-2006) bladtegner",The Royal Library: The National Library of Denmark and Copenhagen University Library,IMAGE,denmark,/92023/images_billed_2010_okt_billeder_object331995,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fkb-images.kb.dk%2FDAMJP2%2Fonline_master_arkiv_7%2Fnon-archival%2FImages%2FBLADTE%2FBo_Bojesen%2Fdb_bo_bojesen_02813%2Ffull%2Ffull%2F0%2Fnative.jpg&size=LARGE&type=IMAGE
Verden gaar fremad,"Bojesen, Bo (1923-2006) bladtegner",The Royal Library: The National Library of Denmark and Copenhagen University Library,IMAGE,denmark,/92023/images_billed_2010_okt_billeder_object330026,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fkb-images.kb.dk%2FDAMJP2%2Fonline_master_arkiv_6%2Fnon-archival%2FImages%2FBLADTE%2FBo_Bojesen%2Fdb_bo_bojesen_00764%2Ffull%2Ffull%2F0%2Fnative.jpg&size=LARGE&type=IMAGE
