items_edmPreview,items_title,items_dcCreator,items_dataProvider,items_country,items_type,items_edmTimespanLabelLangAware_def,items_id
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fwww.italiataglia.it%2Ffiles%2Fvisti21000_wm_pdf%2F16594.pdf&size=LARGE&type=TEXT,"Criniera bianca
				                 
				                 Crin Blanc - Cheval Sauvage",,Cineteca di Bologna,italy,TEXT,1954,/08611/9850
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Frepos.europeanafashion.eu%2Flad%2Fimages%2FM-2010-0204-JT2.jpg&size=LARGE&type=IMAGE,Petit Cheval,Marithé et François Girbaud Métamorphojean Jean Tholance (Photographer),"Les Arts Décoratifs, Paris",france,IMAGE,1990,/2048218/2010_19_7_2localID_europeana_fashion_2010_19_7_2
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fcb32687916w%2Fdate.thumbnail.jpg&size=LARGE&type=TEXT,"Almanach des foires chevalines, indiquant l'époque, la composition des foires et marché par départements et par races de chevaux",,National Library of France,france,TEXT,18,/9200365/BibliographicResource_3000113660796
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbpt6k8910939.thumbnail.jpg&size=LARGE&type=TEXT,Stud-book français. Registre des chevaux de pur sang nés ou importés en France,"France. Service des haras, des courses et de l'équitation",National Library of France,france,TEXT,1884,/9200365/BibliographicResource_3000094700349
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbpt6k891094p.thumbnail.jpg&size=LARGE&type=TEXT,Stud-book français. Registre des chevaux de pur sang nés ou importés en France,"France. Service des haras, des courses et de l'équitation",National Library of France,france,TEXT,1869,/9200365/BibliographicResource_3000094700345
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbpt6k8910952.thumbnail.jpg&size=LARGE&type=TEXT,Stud-book français. Registre des chevaux de pur sang nés ou importés en France,"France. Service des haras, des courses et de l'équitation",National Library of France,france,TEXT,1875,/9200365/BibliographicResource_3000094688098
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbpt6k891097t.thumbnail.jpg&size=LARGE&type=TEXT,Stud-book français. Registre des chevaux de pur sang nés ou importés en France,"France. Service des haras, des courses et de l'équitation",National Library of France,france,TEXT,1872,/9200365/BibliographicResource_3000094688063
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbpt6k9348441.thumbnail.jpg&size=LARGE&type=TEXT,Almanach des vélocipèdes illustré : par un cheval sans ouvrage,,National Library of France,france,TEXT,1869,/9200365/BibliographicResource_3000094668749
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbpt6k891575x.thumbnail.jpg&size=LARGE&type=TEXT,Stud-book français. Registre des chevaux de pur sang nés ou importés en France,"France. Service des haras, des courses et de l'équitation",National Library of France,france,TEXT,1865,/9200365/BibliographicResource_3000059510237
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbpt6k891096f.thumbnail.jpg&size=LARGE&type=TEXT,Stud-book français. Registre des chevaux de pur sang nés ou importés en France,"France. Service des haras, des courses et de l'équitation",National Library of France,france,TEXT,1891,/9200365/BibliographicResource_3000055596558
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbpt6k8902326.thumbnail.jpg&size=LARGE&type=TEXT,Stud-book français. Registre des chevaux de pur sang nés ou importés en France,"France. Service des haras, des courses et de l'équitation",National Library of France,france,TEXT,1861,/9200365/BibliographicResource_3000051612376
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbpt6k890233k.thumbnail.jpg&size=LARGE&type=TEXT,Stud-book français. Registre des chevaux de pur sang nés ou importés en France,"France. Service des haras, des courses et de l'équitation",National Library of France,france,TEXT,1863,/9200365/BibliographicResource_3000051612377
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fcb32858098j%2Fdate.thumbnail.jpg&size=LARGE&type=TEXT,Revue de zootechnie. La revue des éleveurs,Office français d'élevage. Auteur du texte,National Library of France,france,TEXT,1921,/9200365/BibliographicResource_3000045591555
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fcb34546909n%2Fdate.thumbnail.jpg&size=LARGE&type=TEXT,Stud-book français. Registre des chevaux de pur sang nés ou importés en France,"France. Service des haras, des courses et de l'équitation",National Library of France,france,TEXT,1838,/9200365/BibliographicResource_3000022783209
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbpt6k890231t.thumbnail.jpg&size=LARGE&type=TEXT,Stud-book français. Registre des chevaux de pur sang nés ou importés en France,"France. Service des haras, des courses et de l'équitation",National Library of France,france,TEXT,1857,/9200365/BibliographicResource_3000022783205
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbpt6k890229h.thumbnail.jpg&size=LARGE&type=TEXT,Stud-book français. Registre des chevaux de pur sang nés ou importés en France,"France. Service des haras, des courses et de l'équitation",National Library of France,france,TEXT,1851,/9200365/BibliographicResource_3000022783202
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbpt6k890230f.thumbnail.jpg&size=LARGE&type=TEXT,Stud-book français. Registre des chevaux de pur sang nés ou importés en France,"France. Service des haras, des courses et de l'équitation",National Library of France,france,TEXT,1851,/9200365/BibliographicResource_3000022783184
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fcb32835962w%2Fdate.thumbnail.jpg&size=LARGE&type=TEXT,Le Petit cheval de Frise,,National Library of France,france,TEXT,1917,/9200365/BibliographicResource_1000055761183
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbtv1b9059150q.thumbnail.jpg&size=LARGE&type=TEXT,Poésies de « JEHAN FROISSART ».,"Froissart, Jean (1337?-1410?). Auteur du texte",Bibliothèque nationale de France,france,TEXT,1393,/9200519/ark__12148_btv1b9059150q
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbtv1b84521932.thumbnail.jpg&size=LARGE&type=TEXT,"Giovanni Boccaccio,De Claris mulieribus, traduction anonyme en français Livre des femmes nobles et renommees",Giovanni Boccaccio. Auteur du texte,Bibliothèque nationale de France,france,TEXT,1403,/9200519/ark__12148_btv1b84521932
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbtv1b8447872k.thumbnail.jpg&size=LARGE&type=TEXT,"Girart d'Amiens,Meliacin ou le Cheval de fust",,Bibliothèque nationale de France,france,TEXT,1285,/9200519/ark__12148_btv1b8447872k
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbtv1b8438678d.thumbnail.jpg&size=LARGE&type=TEXT,"Giuniano Maio , De Majestate .",Giuniano Maio. Auteur du texte Nardo Rapicano. Enlumineur,Bibliothèque nationale de France,france,TEXT,1492,/9200519/ark__12148_btv1b8438678d
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbtv1b8432899d.thumbnail.jpg&size=LARGE&type=TEXT,Maḫzan al-asrār. Niżāmī,Niżāmī. Auteur du texte,Bibliothèque nationale de France,france,TEXT,1538,/9200519/ark__12148_btv1b8432899d
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbtv1b8432263q.thumbnail.jpg&size=LARGE&type=TEXT,ŠĀHNĀMAAbū l-Qāsim Ḥasan b. Isḥāq b. Šarafšāh Firdawsī Ṭūsī,,Bibliothèque nationale de France,france,TEXT,1444,/9200519/ark__12148_btv1b8432263q
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbtv1b8432215n.thumbnail.jpg&size=LARGE&type=TEXT,"HAMSA, ou PANĞ GANĞ. Niżām al-Dīn Abū Muḥ. Iliyās b. Yūsuf Niżāmī Ganğavī",,Bibliothèque nationale de France,france,TEXT,1365,/9200519/ark__12148_btv1b8432215n
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbtv1b8422995t.thumbnail.jpg&size=LARGE&type=TEXT,Recueil de deux manuscrits épiques du Šāhnāma,,Bibliothèque nationale de France,france,TEXT,1543,/9200519/ark__12148_btv1b8422995t
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbtv1b8406168v.thumbnail.jpg&size=LARGE&type=TEXT,"Traité des chevaux, sans titre ni nom d'auteur.",,Bibliothèque nationale de France,france,TEXT,1670,/9200519/ark__12148_btv1b8406168v
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbtv1b55008197p.thumbnail.jpg&size=LARGE&type=TEXT,Journal du camp de la Sambre. 1755,,Bibliothèque nationale de France,france,TEXT,1755,/9200519/ark__12148_btv1b55008197p
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbtv1b53148798f.thumbnail.jpg&size=LARGE&type=TEXT,Fonds d'archives Michel Jaffrennou. 1984 : Circus. Dessins préparatoires [Image fixe]. Cheval et acrobates,,Bibliothèque nationale de France,france,TEXT,1984,/9200519/ark__12148_btv1b53148798f
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbtv1b53148027f.thumbnail.jpg&size=LARGE&type=TEXT,Fonds d'archives Michel Jaffrennou. 1984 : Circus. Dessins préparatoires [Image fixe]. Cheval,,Bibliothèque nationale de France,france,TEXT,1984,/9200519/ark__12148_btv1b53148027f
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbtv1b530242842.thumbnail.jpg&size=LARGE&type=TEXT,"Menu du ""Diné [sic] du 24 X.bre"" 1860","Viel-Castel, Horace de (1802-1864). Illustrateur",Bibliothèque nationale de France,france,TEXT,1860,/9200519/ark__12148_btv1b530242842
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbtv1b530239900.thumbnail.jpg&size=LARGE&type=TEXT,"Fonds Emile Prisse d'Avennes sur l'Egypte : Iconographie. Dessins, estampes, photographies (NAF 20434-20443). « Art arabe : Dessins, Arabesques, 1 »","Prisse d'Avennes, Émile (1807-1879). Producteur d'un fonds",Bibliothèque nationale de France,france,TEXT,1867,/9200519/ark__12148_btv1b530239900
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbtv1b530239796.thumbnail.jpg&size=LARGE&type=TEXT,"Fonds Emile Prisse d'Avennes sur l'Egypte : Iconographie. Dessins, estampes, photographies (NAF 20434-20443). « Scènes de la vie moderne en Egypte, 3 »","Prisse d'Avennes, Émile (1807-1879). Producteur d'un fonds Benecke, Ernest (1817-1894). Photographe Royer & Aufière, Désiré & Cie Successeurs [Ernié, Désiré] (actif au Caire vers 1864-1885). Photographe",Bibliothèque nationale de France,france,TEXT,1852,/9200519/ark__12148_btv1b530239796
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbtv1b11004758k.thumbnail.jpg&size=LARGE&type=TEXT,Supplément grec 1172,"JEAN CHRYSOSTOME (S.). Auteur du texte JEAN KLADAS, musicien. Auteur du texte",Bibliothèque nationale de France,france,TEXT,1684,/9200519/ark__12148_btv1b11004758k
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbtv1b11003052w.thumbnail.jpg&size=LARGE&type=TEXT,Arabe 3667,,Bibliothèque nationale de France,france,TEXT,1678,/9200519/ark__12148_btv1b11003052w
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbtv1b11002195x.thumbnail.jpg&size=LARGE&type=TEXT,"الاقوال الكافية و الفصول الشافية « Discours suffisants et chapitres satisfaisants », traité complet du cheval, par un auteur anonyme.",,Bibliothèque nationale de France,france,TEXT,1582,/9200519/ark__12148_btv1b11002195x
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbtv1b10515477m.thumbnail.jpg&size=LARGE&type=TEXT,ANVĀR-i SUHAYLĪ. Kamāl al-Dīn Ḥusayn b. ‛Alî Bayhaqī Sabzavārī Vâ‛iẓ Kāšifī.,Kamāl al-Dīn Ḥusayn b. ‛Alî Bayhaqī Sabzavārī Vâ‛iẓ Kāšifī. Auteur du texte,Bibliothèque nationale de France,france,TEXT,1547,/9200519/ark__12148_btv1b10515477m
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbtv1b10510523d.thumbnail.jpg&size=LARGE&type=TEXT,"[Recueil. ""Phèdre"" de Jean Racine ; ""Le cheval arabe"" de Julien Luchaire]",,Bibliothèque nationale de France,france,TEXT,1943,/9200519/ark__12148_btv1b10510523d
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbtv1b10501940f.thumbnail.jpg&size=LARGE&type=TEXT,"[Recueil. ""A cheval vers la mer"" de Synge, ""La cruche cassée"" de Heinrich von Kleist]",,Bibliothèque nationale de France,france,TEXT,1938,/9200519/ark__12148_btv1b10501940f
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbtv1b10031256f.thumbnail.jpg&size=LARGE&type=TEXT,Rutbat al-ḥakīm. 0Maslama ibn Aḥmad ibn Qāsim ibn Ibrāhīm ibn ʿAbd Allāh ibn Ḥātim al-Qurṭubī al-Andalusī. رتبة الحكيم. مسلمة بن أحمد بن قاسم بن ابراهيم بن عبد الله بن هاتم القرطبي الأندلسي,Maslama ibn Aḥmad ibn Qāsim ibn Ibrāhīm ibn ʿAbd Allāh ibn Ḥātim al-Qurṭubī al-Andalusī. Auteur du texte مسلمة بن أحمد بن قاسم بن ابراهيم بن عبد الله بن هاتم القرطبي الأندلسي. Auteur du texte مسلمة بن أحمد المجريطي. Auteur prétendu du texte مسلمة بن القاسم بن ابراهيم بن عبد الله بن حاتم. Auteur prétendu du texte Qādir ibn Yazīd (al-). Auteur du texte القادر بن يزيد. Auteur du texte Šāfiʿī (al-). Auteur du texte الشافعي. Auteur du texte,Bibliothèque nationale de France,france,TEXT,1767,/9200519/ark__12148_btv1b10031256f
,Evolución del Epiteto en la Poesía Lírica española. Verificación estadística,,idUS. Déposito de investigación de la Universidad de Sevilla,spain,TEXT,1994,/2022720/lod_oai_idus_us_es_11441____30413_ent0
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fbdh-rd.bne.es%2Fpdf.raw%3Fquery%3Did%3A0000218164%26page%3D1%26jpeg%3Dtrue&size=LARGE&type=TEXT,L'èlevage du cheval en France [Texto impreso] :]précédé d'une bibliographie de l'élevage du cheval ou France du XVII siècle a nos jours suivi d'ètudes sur l'èlevage du cheval dans le Penchele Boulonnais et la Basse - Normandie,"Musset, René",National Library of Spain,spain,TEXT,1917,/2022717/bnesearch_detalle_bdh0000218164
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fbdh-rd.bne.es%2Fpdf.raw%3Fquery%3Did%3A0000211433%26page%3D1%26jpeg%3Dtrue&size=LARGE&type=TEXT,"Mémoires historiques, et secrets, concernant les amors des Rois de France [Texto impreso]avec quelques autres Piéces... [Savoir: Reflexions historiques sur la mort de Henri le Grand ; le Mal de Naples ; Tresors dez rois de France]","Argens, Jean Baptiste Boyer, Marquis d'",National Library of Spain,spain,TEXT,1739,/2022717/bnesearch_detalle_bdh0000211433
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fbdh-rd.bne.es%2Fpdf.raw%3Fquery%3Did%3A0000204402%26page%3D1%26jpeg%3Dtrue&size=LARGE&type=IMAGE,[El encantamiento de Dulcinea],"Anónimo francés, s. XVIII",National Library of Spain,spain,IMAGE,1750,/2022717/bnesearch_detalle_bdh0000204402
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fbdh-rd.bne.es%2Fpdf.raw%3Fquery%3Did%3A0000204401%26page%3D1%26jpeg%3Dtrue&size=LARGE&type=IMAGE,[La aventura de Clavileño],"Anónimo francés, s. XVIII",National Library of Spain,spain,IMAGE,1750,/2022717/bnesearch_detalle_bdh0000204401
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fbdh-rd.bne.es%2Fpdf.raw%3Fquery%3Did%3A0000202950%26page%3D1%26jpeg%3Dtrue&size=LARGE&type=IMAGE,[Aventura de Clavileño] [Material gráfico] [Aventura de Clavileño],http://datos.bne.es/resource/XX1009781 http://datos.bne.es/resource/XX3383563 http://datos.bne.es/resource/XX1182932,National Library of Spain,spain,IMAGE,1728,/2022717/bnesearch_detalle_bdh0000202950
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fbdh-rd.bne.es%2Fpdf.raw%3Fquery%3Did%3A0000185718%26page%3D1%26jpeg%3Dtrue&size=LARGE&type=TEXT,"Ecole de cavalerie [Texto impreso] : contenant la connoissance, l'instruction et la conservation du cheval","La Guérinière, François Robichon de, 1688-1751 http://data.europeana.eu/agent/base/87785",National Library of Spain,spain,TEXT,1769,/2022717/bnesearch_detalle_bdh0000185718
