items_edmTimespanLabelLangAware_def,items_dcCreator,items_type,items_edmPreview,items_country,items_id,items_title,items_dataProvider
1975,"Bauer Sándor, fényképész",IMAGE,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fmandadb.hu%2Fmandadb%2Fwebimage%2F6%2F4%2F8%2F2%2F8%2F1%2Fwimage%2Flead_126152.jpg&size=LARGE&type=IMAGE,hungary,/2048128/576298,Kiállítás,Fortepan
1931,,IMAGE,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=https%3A%2F%2Fwww.filmportal.de%2Fsites%2Fdefault%2Ffiles%2F0DB662C1207D4AD998E51B17076D2A93_f015490_pic_01.jpg&size=LARGE&type=IMAGE,germany,/08604/0DB662C1207D4AD998E51B17076D2A93_f015490_pic_01,Der Raub der Mona Lisa,Deutsches Filminstitut - DIF
1951,,VIDEO,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fimages3.noterik.com%2Fdomain%2Feuscreenxl%2Fuser%2Feu_dr%2Fvideo%2FEUS_B3E1D61310B74CE3A627A244861F78CE%2Fimage.jpg&size=LARGE&type=VIDEO,europe,/2051943/EUS_B3E1D61310B74CE3A627A244861F78CE,Osvald Helmuth dressed as Mona Lisa. Osvald Helmuth udklædt som Mona Lisa SERIES TITLE: ,DR
1994,"Zacharezuk, Jocelyne (1950-....). Auteur du texte",TEXT,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbpt6k4811910s.thumbnail.jpg&size=LARGE&type=TEXT,france,/9200520/ark__12148_bpt6k4811910s,L'escapade de Mona Lisa ; Le livre du double secret / Jocelyne Zacharezuk ; ill. de Thierry Christmann,Bibliothèque nationale de France
1978,"Poulsen, Poul Erik (1935-2013) bladtegner",IMAGE,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fkb-images.kb.dk%2FDAMJP2%2Fonline_master_arkiv_3%2Fnon-archival%2FImages%2FBLADTE%2Fpoul_erik_poulsen%2Fdb_poul_erik_poulsen_kasse_08%2Fdb_poul_erik_poulsen_00351%2Ffull%2Ffull%2F0%2Fnative.jpg&size=LARGE&type=IMAGE,denmark,/92023/images_billed_2010_okt_billeder_object366120,Mona Lisa,The Royal Library: The National Library of Denmark and Copenhagen University Library
1912,Candido Aragonês de Faria,IMAGE,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fefgposters.eyefilm.nl%2FNL-EYE-EFG1914_A04997.jpg&size=LARGE&type=IMAGE,netherlands,/08614/poster9867,Le Tragique amour de Mona Lisa,EYE Filmmuseum (The Netherlands)
1967,,IMAGE,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Ffototeka.fn.org.pl%2Fpublic%2Fcache%2F1-F-3481-6-931x.jpg&size=LARGE&type=IMAGE,poland,/08609/1_F_3481_6_931x,Przygody Otka,Filmoteka Narodowa
1960,Hanes,IMAGE,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Frepos.europeanafashion.eu%2Fpff%2Fimages%2F2007.6.0362.JPG&size=LARGE&type=IMAGE,greece,/2048210/2007_6_0362,T-Shirt,Peloponnesian Folklore Foundation
1945,Erikslundsskolan,IMAGE,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fmm.dimu.org%2Fimage%2F032uL2kSj68f%3Fdimension%3D600x600&size=LARGE&type=IMAGE,sweden,/916106/vbg_object_VM08074_22,BARNTECKNING,Vänersborgs museum
1914,Fotograaf onbekend,IMAGE,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fresolver.kb.nl%2Fresolve%3Furn%3Durn%3Agvn%3ASFA03%3ASFA022800005%26role%3Dthumbnail&size=LARGE&type=IMAGE,netherlands,/92034/GVNRC_SFA03_SFA022800005,"Heren met snorren en bolhoeden hebben zich geschaard om de 'Mona Lisa', een van de beroemdste werken van Leonardo da Vinci (1452-1519). Het schilderij is, na lange afwezigheid, terug in het Louvre. Parijs, 1914.",National Library of the Netherlands - Koninklijke Bibliotheek
1911,,IMAGE,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fresolver.kb.nl%2Fresolve%3Furn%3Durn%3Agvn%3ASFA03%3ASFA022800004%26role%3Dthumbnail&size=LARGE&type=IMAGE,netherlands,/92034/GVNRC_SFA03_SFA022800004,"Leonardo da Vinci 's (1452-1519) meesterwerk uit ca. 1405: De Mona Lisa, of La Gioconda. Parijs,1911.",National Library of the Netherlands - Koninklijke Bibliotheek
1937,Fotograaf onbekend,IMAGE,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fresolver.kb.nl%2Fresolve%3Furn%3Durn%3Agvn%3ASFA03%3ASFA022007043%26role%3Dthumbnail&size=LARGE&type=IMAGE,netherlands,/92034/GVNRC_SFA03_SFA022007043,"Op de glimlach-school in Boedapest wijst een leraar in witte jas met een stok naar de mond van de Mona Lisa op een tekening daarvan. Hongarije, 1937.",National Library of the Netherlands - Koninklijke Bibliotheek
2004,"Columbia Tristar,,",IMAGE,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fresolver.kb.nl%2Fresolve%3Furn%3Durn%3Agvn%3ARA01%3A479516710add1%26role%3Dthumbnail&size=LARGE&type=IMAGE,netherlands,/92034/GVNRC_RA01_479516710add1,Mona Lisa Smile,National Library of the Netherlands - Koninklijke Bibliotheek
1985,"Moulen, Lyan",IMAGE,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fresolver.kb.nl%2Fresolve%3Furn%3Durn%3Agvn%3ANAGO02%3ATIN-R1985-040%26role%3Dthumbnail&size=LARGE&type=IMAGE,netherlands,/92034/GVNRC_NAGO02_TIN_R1985_040,Nimbostratus/Ti. Faust und das ewige Lächeln der Mona Lisa,National Library of the Netherlands - Koninklijke Bibliotheek
2005,"Gerig, Uwe (Fotograf)",IMAGE,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Ffotothek.slub-dresden.de%2Ffotos%2Fdf%2Fge%2F0005000%2Fdf_ge_0005561.jpg&size=LARGE&type=IMAGE,germany,/2048415/item_W37GID2ON4G4LTWNM2DO4MBF5BLTMCIO,"Museum Louvre, Mona Lisa im Visir eines Amateur-Digitalfotografen aus Japan",Deutsche Fotothek
2005,"Gerig, Uwe (Fotograf)",IMAGE,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Ffotothek.slub-dresden.de%2Ffotos%2Fdf%2Fge%2F0005000%2Fdf_ge_0005557.jpg&size=LARGE&type=IMAGE,germany,/2048415/item_TSJ5VQ4ME26ZPW6M7IJOXDMKTNHSRWWT,"Museum Louvre, Besucher vor dem Bild der Mona Lisa",Deutsche Fotothek
